	City	Price	State	Title	Url	Condition	Cylinders	Description	Drive	Fuel	Make_Model	Num_Image	Odometer	Paint_Color	Size	Time	Title_Status	Transmission	VIN	Year
14	MS	33900	N/A	2014 Chevrolet Silverado 3500HD CREW CAB FLATBED 4X4 3500 3500HD LOW M	https://northmiss.craigslist.org/ctd/d/2014-chevrolet-silverado/6481497978.html	 excellent	 8 cylinders	2014 Chevrolet Silverado 3500HD CREW CAB FLATBED 4X4 3500 3500HD LOW MILES - $33,900Year: 2014Make:ChevroletModel:Silverado 3500HDTrim:CREW CAB FLATBED 4X4 3500 3500HD LOW MILESMileage:28,820Stock #:2376AVIN:1GB4KZCG2EF154128Trans:SelectColor:WhiteVehicle Type:TruckState:Drive Train:4WDEngine:6.0L V8 OHV 16V FFVNotesSUPER, SUPER NICE RIG. WE SOLD THIS TRUCK LAST YEAR TO A GENTLEMAN, HE NO LONGER NEEDED A HEAVY TRUCK AND TRADED IT IN ON A HALF TON. IT IS IMMACULATE INSIDE AND OUT. STILL HAS PLENTY OF REMAINING FACTORY WARRANTY. POWERFUL 6.0L VORTEC GAS ENGINE. FINANCING AVAILABLE (W.A.C.).Vehicle Options4x4Air ConditioningAM/FMAnti-Lock BrakesAutomatic HeadlightsChild Safety Door LocksCruise ControlDaytime Running LightsDriver AirbagElectronic Brake AssistanceFront Air DamFront Split Bench SeatFull Size Spare TireInterval WipersKeyless EntryLeather Steering WheelLimited Slip DifferentialLocking DifferentialPassenger AirbagPickup Truck Cargo Box LightPower LocksPower MirrorsPower SteeringPower WindowsSecond Row Folding SeatSteel WheelsSteering Wheel Mounted ControlsTachometerTilt WheelTool BoxTow PackageTowing Preparation PackageTraction ControlTrip ComputerVehicle Stability Control System4WD/AWDABS BrakesPower Door LocksTilt SteeringTilt Steering ColumnVehicle Anti-TheftJames Grimes Auto SalesBrad, Robert or James662-516-8007BatchID: AU1CXY9DJ2ID: 10566906	 4wd	 gas	Chevrolet Silverado 3500HD	24.0	28820.0	 white	 full-size	2018-02-01  9:30pm	 clean	 other	 1GB4KZCG2EF154128	2014.0
15	MS	26900	N/A	2012 Ford F-350 SD F350 F-350 4X4 FLATBED 4WD LOW MILES ONE OWNER CRE	https://northmiss.craigslist.org/ctd/d/2012-ford-350-sd-fx4-flatbed/6481497932.html	 excellent	 8 cylinders	2012 Ford F-350 SD F350 F-350 4X4 FLATBED 4WD LOW MILES ONE OWNER CRE - $26,900Year: 2012Make:FordModel:F-350 SDTrim:F350 F-350 4X4 FLATBED 4WD LOW MILES ONE OWNER CREMileage:49,702Stock #:2368VIN:1FD8W3H66CEA60296Trans:AutomaticColor:WhiteVehicle Type:TruckState:Drive Train:4WDEngine:6.2L V8 OHV 16VNotesNICE TRUCK INSIDE AND OUT. COMPLETELY SERVICED. RUNS AND DRIVES GREAT. LOW LOW MILES FOR THE YEAR. THIS TRUCK IS OFF LEASE AND HAD A STRICT MAINTENANCE POLICY. FINANCING AVAILABLE (W.A.C.).Vehicle OptionsAir ConditioningCargo Area TiedownsCruise ControlDriver AirbagFront Air DamFront Side AirbagFront Split Bench SeatFull Size Spare TireHeated Exterior MirrorInterval WipersKeyless EntryLocking Pickup Truck TailgatePassenger AirbagPickup Truck Cargo Box LightPower WindowsRunning BoardsSecond Row Folding SeatSide Head Curtain AirbagSteel WheelsSteering Wheel Mounted ControlsTachometerTelescopic Steering ColumnTowing Preparation PackageTraction ControlTrip Computer4WD/AWDABS BrakesAM/FM RadioCD PlayerPower Adjustable Exterior MirrorPower Door LocksTilt SteeringTilt Steering ColumnVehicle Anti-TheftJames Grimes Auto SalesBrad, Robert or James662-516-8007BatchID: AU1CXY9DJ2ID: 10573102	 4wd	 gas	Ford F-350 SD	24.0	49702.0	 white	 full-size	2018-02-01  9:30pm	 clean	 automatic	 1FD8W3H66CEA60296	2012.0
16	MS	26900	N/A	2012 Ford F-350 SD F350 F-350 4X4 FLATBED 4WD LOW MILES ONE OWNER CRE	https://northmiss.craigslist.org/ctd/d/2012-ford-350-sd-fx4-flatbed/6481497913.html	 excellent	 8 cylinders	2012 Ford F-350 SD F350 F-350 4X4 FLATBED 4WD LOW MILES ONE OWNER CRE - $26,900Year: 2012Make:FordModel:F-350 SDTrim:F350 F-350 4X4 FLATBED 4WD LOW MILES ONE OWNER CREMileage:49,702Stock #:2368VIN:1FD8W3H66CEA60296Trans:AutomaticColor:WhiteVehicle Type:TruckState:Drive Train:4WDEngine:6.2L V8 OHV 16VNotesNICE TRUCK INSIDE AND OUT. COMPLETELY SERVICED. RUNS AND DRIVES GREAT. LOW LOW MILES FOR THE YEAR. THIS TRUCK IS OFF LEASE AND HAD A STRICT MAINTENANCE POLICY. FINANCING AVAILABLE (W.A.C.).Vehicle OptionsAir ConditioningCargo Area TiedownsCruise ControlDriver AirbagFront Air DamFront Side AirbagFront Split Bench SeatFull Size Spare TireHeated Exterior MirrorInterval WipersKeyless EntryLocking Pickup Truck TailgatePassenger AirbagPickup Truck Cargo Box LightPower WindowsRunning BoardsSecond Row Folding SeatSide Head Curtain AirbagSteel WheelsSteering Wheel Mounted ControlsTachometerTelescopic Steering ColumnTowing Preparation PackageTraction ControlTrip Computer4WD/AWDABS BrakesAM/FM RadioCD PlayerPower Adjustable Exterior MirrorPower Door LocksTilt SteeringTilt Steering ColumnVehicle Anti-TheftJames Grimes Auto SalesBrad, Robert or James662-516-8007BatchID: XH3S64S7RYID: 10573102	 4wd	 gas	Ford F-350 SD	24.0	49702.0	 white	 full-size	2018-02-01  9:29pm	 clean	 automatic	 1FD8W3H66CEA60296	2012.0
17	MS	33900	N/A	2014 Chevrolet Silverado 3500HD CREW CAB FLATBED 4X4 3500 3500HD LOW M	https://northmiss.craigslist.org/ctd/d/2014-chevrolet-silverado/6481497931.html	 excellent	 8 cylinders	2014 Chevrolet Silverado 3500HD CREW CAB FLATBED 4X4 3500 3500HD LOW MILES - $33,900Year: 2014Make:ChevroletModel:Silverado 3500HDTrim:CREW CAB FLATBED 4X4 3500 3500HD LOW MILESMileage:28,820Stock #:2376AVIN:1GB4KZCG2EF154128Trans:SelectColor:WhiteVehicle Type:TruckState:Drive Train:4WDEngine:6.0L V8 OHV 16V FFVNotesSUPER, SUPER NICE RIG. WE SOLD THIS TRUCK LAST YEAR TO A GENTLEMAN, HE NO LONGER NEEDED A HEAVY TRUCK AND TRADED IT IN ON A HALF TON. IT IS IMMACULATE INSIDE AND OUT. STILL HAS PLENTY OF REMAINING FACTORY WARRANTY. POWERFUL 6.0L VORTEC GAS ENGINE. FINANCING AVAILABLE (W.A.C.).Vehicle Options4x4Air ConditioningAM/FMAnti-Lock BrakesAutomatic HeadlightsChild Safety Door LocksCruise ControlDaytime Running LightsDriver AirbagElectronic Brake AssistanceFront Air DamFront Split Bench SeatFull Size Spare TireInterval WipersKeyless EntryLeather Steering WheelLimited Slip DifferentialLocking DifferentialPassenger AirbagPickup Truck Cargo Box LightPower LocksPower MirrorsPower SteeringPower WindowsSecond Row Folding SeatSteel WheelsSteering Wheel Mounted ControlsTachometerTilt WheelTool BoxTow PackageTowing Preparation PackageTraction ControlTrip ComputerVehicle Stability Control System4WD/AWDABS BrakesPower Door LocksTilt SteeringTilt Steering ColumnVehicle Anti-TheftJames Grimes Auto SalesBrad, Robert or James662-516-8007BatchID: XH3S64S7RYID: 10566906	 4wd	 gas	Chevrolet Silverado 3500HD	24.0	28820.0	 white	 full-size	2018-02-01  9:30pm	 clean	 other	 1GB4KZCG2EF154128	2014.0
18	MS	36900	N/A	2013 GMC Sierra 2500HD 2500 2500HD CREW CAB 4X4 DURAMAX DIESEL Z71 LEA	https://northmiss.craigslist.org/ctd/d/2013-gmc-sierra-2500hdhd-crew/6481497902.html	 excellent	 8 cylinders	2013 GMC Sierra 2500HD 2500 2500HD CREW CAB 4X4 DURAMAX DIESEL Z71 LEATHE - $36,900Year: 2013Make:GMCModel:Sierra 2500HDTrim:2500 2500HD CREW CAB 4X4 DURAMAX DIESEL Z71 LEATHEMileage:93,661Stock #:2377VIN:1GT120C85DF180787Trans:AutomaticColor:SilverVehicle Type:TruckState:Drive Train:4WDEngine:6.6L V8 OHV 32V TURBO DIESELNotesEXCEPTIONALLY CLEAN INSIDE AND OUT. ONE OWNER. NEW NITTO TIRES. 20 INCH WHEELS. BEAUTIFUL BLACK INTERIOR. THIS RIG HAS BEEN SERVICED AND IT IS READY TO GET TO WORK RIGHT NOW. NO DIESEL EXHAUST FLUID. THE DPF HAS BEEN DELETED. THIS TRUCK RUNS AND DRIVES LIKE NEW. STILL HAS SOME REMAINING FACTORY WARRANTY. FINANCING IS AVAILABLE (W.A.C.).Vehicle Options4x4Air ConditioningAlarm SystemAlloy WheelsAM/FMAnti-Lock BrakesAutomatic HeadlightsBack Up SonarBackup CameraBedlinerBluetoothCargo Area TiedownsCDChild Safety Door LocksCruise ControlDaytime Running LightsDieselDriver AirbagDriver Multi-Adjustable Power SeatElectronic Brake AssistanceFog LightsFront Air DamFront Split Bench SeatFull Size Spare TireHeated Exterior MirrorInterval WipersKeyless EntryLeather SeatsLeather Steering WheelOn-StarPassenger AirbagPickup Truck Cargo Box LightPower BrakesPower LocksPower MirrorsPower SeatsPower SteeringPower WindowsSatellite RadioSecond Row Folding SeatSkid PlateSteering Wheel Mounted ControlsTachometerTelematics SystemTilt WheelTinted WindowsTire Pressure MonitorTow PackageTraction ControlTrip ComputerVehicle Stability Control SystemVoice Activated Telephone4WD/AWDABS BrakesAM/FM RadioCD PlayerPower Adjustable Exterior MirrorPower Door LocksTilt SteeringTilt Steering ColumnVehicle Anti-TheftJames Grimes Auto SalesBrad, Robert or James662-516-8007BatchID: XH3S64S7RYID: 10566818	 4wd	 diesel	GMC Sierra 2500HD	24.0	93661.0	 silver	 full-size	2018-02-01  9:29pm	 clean	 automatic	 1GT120C85DF180787	2013.0
19	POTTS	7250	CAMP	2008 CADILLAC SRX MODEL SUV  REDUCE??/	https://northmiss.craigslist.org/cto/d/2008-cadillac-srx-model-suv/6481470290.html	 like new	 8 cylinders	WHTE THIRD ROW SEATS .BEIGE LEATHER, NAV,  SUNROOF/. ClEAN POSSIBLE TAKE TRADEs OF EQUAL VALUE  .REDUCE??? REDUCED / LOW MILES FOR YEAR MODEL?CARS/TRUCKS/ SIDE BY SIDE FOUR SEATER??LET ME KNOW WHAT YOU GOT TO TRADE?	 rwd	 gas	cadillac srx		115000.0	 white	 mid-size	2018-02-01  8:50pm	 clean	 automatic		2008.0
20	Olive	3800	Branch	Van   2000 GMC Savannah Van	https://northmiss.craigslist.org/cto/d/van-2000-gmc-savannah-van/6476458354.html	 good		Great Van with good tires, Ac and heat works, new radio. Road ready... Asking 3800 or best offer .. serious inquiries only		 gas	GMC Savannah	8.0	155000.0			2018-01-28  6:55pm	 clean	 automatic		2000.0
21	N/A	3250	N/A	20ft Steel Deck Trailer	https://northmiss.craigslist.org/cto/d/20ft-steel-deck-trailer/6472818398.html			"I have a New 2018 20ft. Steel Deck Trailer. It would be great for a car hauler or small equipment. It has 5"" Channel Wrap around neck that has been reinforced and 5"" Channel Frame. It has a 7klb Heavy Duty jack. Slide out ramps. It has two 5200lb axles with brakes. 10ply tires. LED Taillights. Gvwr is 10,400. $3250obo Call  show contact info"		 other	car trailer	3.0				2018-01-25  3:45pm	 clean	 other		2018.0
22	Macon	9750	MS	2012 F350 Flatbed	https://northmiss.craigslist.org/cto/d/2012-f350-flatbed/6452182313.html			I have a Very Nice 1 OWNER TRUCK. 2012 Ford F350 Dually 2WD. It's a cab and chassis with the 6.2l gas motor. It has a lot of HWY Miles but the truck runs and drives like is brand new. It is definitely the cleanest 100k+ mile truck you will find. NO LEAKS, ZERO PROBLEMS. It's ready to go to work. 284k Miles. I drive this truck everyday. It pulls like a 7.3 and goes down the road empty like an f150. $9750 Call  show contact info		 gas	ford f350 super duty	3.0				2018-01-08 11:15am	 clean	 automatic		2012.0
23	Enid	3900	N/A	97 GMC Sierra 4x4	https://northmiss.craigslist.org/cto/d/97-gmc-sierra-4x4/6481470238.html	 good	 8 cylinders	Extended cab. Third door. Automatic. 5.7 engine. Good tires. Runs & drives good.  show contact info	 4wd	 gas	GMC Sierra	6.0	181000.0	 red	 full-size	2018-02-01  8:50pm	 clean	 other		1997.0
24	N/A	1800	N/A	4-Wheel Drive Subaru Forester maintained&proud of	https://northmiss.craigslist.org/cto/d/4-wheel-drive-subaru-forester/6456046874.html	 like new		Very well maintained. 4WD. Leather interior in great condition. Selling with bike rack. Runs good with no check engine light. Has good tires and brakes		 gas	Subaru Forester	1.0				2018-01-11 12:50pm	 clean	 automatic		2008.0
25	Mantachie	550	N/A	1997 Nissan pickup project truck for sale or trade	https://northmiss.craigslist.org/cto/d/1997-nissan-pickup-project/6470300446.html	 fair	 4 cylinders	1997 Nissan hardbody truck 5 speed manual transmission for project or parts truck. The engine is out and has been fully rebuilt with new crank bearings, new rod bearings new pistons and rings, had the block vatted and cylinders honed with new freeze plugs. Only thing it lacks is the head, intake and few other things to be put back on before putting it back in and I have all the parts and gaskets to do so. Truck was running good before I pulled engine and rebuilt except it had a miss due to low compression in one cylinder because a rings were wore in that cylinder. That's why I pulled and rebuilt but don't have time to finish. $550. Text for faster response. Trade for 4-5 foot three point tractor implements of equal value.	 rwd	 gas	Nissan	5.0	220000.0			2018-01-23  2:42pm	 clean	 manual		1997.0
26	N/A	1600	N/A	99 Avenger	https://northmiss.craigslist.org/cto/d/99-avenger/6481445670.html		 4 cylinders	1999 Dodge Avenger Runs and drives great Sunroof, power windows, Cruise control, Just needs a radio. Clean title in hand.No payments, No PayPal, or email, scam, spam Call me or text  show contact infoIf no answer please leave a voicemail, my phone doesn't ring sometimes.		 gas	Dodge	4.0				2018-02-01  8:18pm	 clean	 automatic		1999.0
27	Ecru	1800	Ms	1979 f100	https://northmiss.craigslist.org/cto/d/1979-f100/6481444948.html	 good	 6 cylinders	79 f100 body is in great shape. Original 300-6 3 on the tree. Transmission is still in truck, pulled the engine to replace it never got around to it.  Very little rust in floors. I have to many projects, something needs to go. Clean title in hand, I do still have engine that came out of it just needs rebilt. $1800.00	 rwd	 gas	Ford f100	2.0	100000.0	 blue	 full-size	2018-02-01  8:17pm	 clean	 manual	 Xxxxxxx	1979.0
28	N/A	3400	N/A	03 Ascender	https://northmiss.craigslist.org/cto/d/03-ascender/6458800245.html			2003 Isuzu Ascender 143k Runs and drives great, 3 Row seats Fully loaded, power seat windows locks, leather seats, TV-DVD, Cruise control, rear heat & air, towing package, fog lights, up good shape inside and out, no body damage, no rust.  Clean title ready to go. No payments, No PayPal, or email, scam, spam Call me or text  show contact infoIf no answer please leave a voicemail, my phone doesn't ring sometimes.		 gas	Isuzu	8.0				2018-01-13  5:27pm	 clean	 automatic		2003.0
29	Guntown	13800	N/A	2005 Mustang GT with ROUSH Supercharger	https://northmiss.craigslist.org/cto/d/2005-mustang-gt-with-roush/6467190534.html	 excellent	 8 cylinders	"2005 Mustang GT With ROUSH SUPERCHARGER Has only 70k miles Runs and drives GREAT!!!Paint and body is in A+ shape Legend Lime Registry plated.  Pypes long tubes headers. Circle D transmission & converter4"" Aluminum SpyerShaft driveshaft. Shelby GT500 full suspension. GT500 differential. Flowmaster with X pipe. Twin GT500 fuel pumps. Mishimoto radiator. FRPP 2300k Lowering Springs. Steeda 34mm front sway bar. Energy Suspension urethane mounts. UPR rear lower control arms. UPR lower relocation brackets.  Edelbrock adjustment upper control arm. Brembo brakesSHAKER 500 system, Rockford Fosgate 12"" sub. Has my color gauges. Flush side Louvers. Hydraulic Hood lifts conversation. HID's headlights, smoked bumper lights, taillights and side markers.No PayPal / eMail scam.... Call or text me @  show contact infoIf no answer please leave voicemail"		 gas	Mustang GT	10.0				2018-01-20  9:02pm	 clean	 automatic		2005.0
30	Tupelo	7950	N/A	Hummer h3	https://northmiss.craigslist.org/cto/d/hummer-h3/6481441516.html	 good	 5 cylinders	2006 hummer h3 4x4 with 99,000 miles ..has rhino line exterior gloss black with blackLeather interior.. Contact  show contact info	 4wd	 gas	hummer h3 4x4	2.0	99000.0	 black	 full-size	2018-02-01  8:12pm	 clean	 automatic	 1yfg3298wedgk1254	2006.0
31	OKOLONA	2800	N/A	2003 Kia	https://northmiss.craigslist.org/cto/d/2003-kia/6481424986.html	 good	 6 cylinders	2003 Kia Sorento runs and drives great high mileage all highway driving it back and forth to Wisconsin 2800 or best offer	 4wd	 gas	kia sorento	1.0		 brown	 compact	2018-02-01  7:52pm	 clean	 automatic		2003.0
32	Saltillo	6500	ms	2007 Lexus gs350	https://northmiss.craigslist.org/cto/d/2007-lexus-gs350/6481424627.html	 good	 6 cylinders	2007 Lexus gs3503.5l v6 auto transmission 195k milesExhaustCold air intakeWired for system 5% tint in back and 20% tint on front Fully loaded with heating and cooling seatsPriced to sell, No Trades$6500 message for more info show contact info	 rwd	 gas	Lexus GS 350	3.0	195000.0	 white	 full-size	2018-02-01  7:52pm	 clean	 automatic		2007.0
